annotator_ID|topic|original_text|counterfactual|timeInS|a_frames|a_fluency|a_meaning|experiment_type|original_frames|target_frames
31|ne|A number of nuclear energy innovations have made it a much more feasible choice than others .|A number of others have made nuclear energy an expensive choice and have made it a much more feasible choice than others.|86|-COSTS-----------|2|-1|ne/exchange_random_labels_1_by_t5-small_TOP50//ne/exchange_random_labels_1_by_t5-small_TOP10|O-TECHNOLOGICAL|PUBLIC//PUBLIC
99|ne|A number of nuclear energy innovations have made it a much more feasible choice than others .|A number of others have made nuclear energy an expensive choice and have made it a much more feasible choice than others.|783|-COSTS-----------|4|1|ne/exchange_random_labels_1_by_t5-small_TOP50//ne/exchange_random_labels_1_by_t5-small_TOP10|O-TECHNOLOGICAL|PUBLIC//PUBLIC
11|ne|A serious reactor accident could cost as much as $ 600 billion , the balance of which would likely be paid by taxpayers .|A serious reactor accident could be worth as much as $600 billion, the balance of which would likely be paid by taxpayers.|158|ACCIDENTS/SECURITY-COSTS----HEALTH-PUBLIC------|5|10|ne/exchange_random_labels_1_by_t5-small_TOP50|O-ACCIDENTS/SECURITY-ENERGY-COSTS|RELIABILITY-ENERGY-ACCIDENTS/SECURITY
31|ne|A serious reactor accident could cost as much as $ 600 billion , the balance of which would likely be paid by taxpayers .|A serious reactor accident could be worth as much as $600 billion, the balance of which would likely be paid by taxpayers.|289|ACCIDENTS/SECURITY-COSTS-----------|4|-1|ne/exchange_random_labels_1_by_t5-small_TOP50|O-ACCIDENTS/SECURITY-ENERGY-COSTS|RELIABILITY-ENERGY-ACCIDENTS/SECURITY
99|ne|A serious reactor accident could cost as much as $ 600 billion , the balance of which would likely be paid by taxpayers .|A serious reactor accident could be worth as much as $600 billion, the balance of which would likely be paid by taxpayers.|48|ACCIDENTS/SECURITY-COSTS-----------|5|10|ne/exchange_random_labels_1_by_t5-small_TOP50|O-ACCIDENTS/SECURITY-ENERGY-COSTS|RELIABILITY-ENERGY-ACCIDENTS/SECURITY
11|ne|A serious reactor accident could cost as much as $ 600 billion , the balance of which would likely be paid by taxpayers .|A serious reactor accident could cost as much as $600 billion, the balance of which would likely be accounted for by oil costs cost tag expenses of coal oil and gas oil.|129|ACCIDENTS/SECURITY-COSTS-----------|4|0|ne/framed_decoding0.2/exchange_random_labels_1_by_t5-small_TOP10|O-ACCIDENTS/SECURITY-ENERGY-COSTS|ACCIDENTS/SECURITY-FOSSIL-COSTS
31|ne|A serious reactor accident could cost as much as $ 600 billion , the balance of which would likely be paid by taxpayers .|A serious reactor accident could cost as much as $600 billion, the balance of which would likely be accounted for by oil costs cost tag expenses of coal oil and gas oil.|62|ACCIDENTS/SECURITY-COSTS---FOSSIL--------|1|-1|ne/framed_decoding0.2/exchange_random_labels_1_by_t5-small_TOP10|O-ACCIDENTS/SECURITY-ENERGY-COSTS|ACCIDENTS/SECURITY-FOSSIL-COSTS
99|ne|A serious reactor accident could cost as much as $ 600 billion , the balance of which would likely be paid by taxpayers .|A serious reactor accident could cost as much as $600 billion, the balance of which would likely be accounted for by oil costs cost tag expenses of coal oil and gas oil.|84|ACCIDENTS/SECURITY-COSTS-----------|5|10|ne/framed_decoding0.2/exchange_random_labels_1_by_t5-small_TOP10|O-ACCIDENTS/SECURITY-ENERGY-COSTS|ACCIDENTS/SECURITY-FOSSIL-COSTS
11|ne|A serious reactor accident could cost as much as $ 600 billion , the balance of which would likely be paid by taxpayers .|A serious reactor accident could cost as much as $600 billion, the balance of which would likely be owed by oil oil.|55|ACCIDENTS/SECURITY-COSTS---FOSSIL--------|4|1|ne/framed_decoding0.2/exchange_random_labels_1_by_t5-small_TOP50|O-ACCIDENTS/SECURITY-ENERGY-COSTS|ACCIDENTS/SECURITY-FOSSIL-COSTS
31|ne|A serious reactor accident could cost as much as $ 600 billion , the balance of which would likely be paid by taxpayers .|A serious reactor accident could cost as much as $600 billion, the balance of which would likely be owed by oil oil.|142|ACCIDENTS/SECURITY-COSTS---FOSSIL--------|1|-1|ne/framed_decoding0.2/exchange_random_labels_1_by_t5-small_TOP50|O-ACCIDENTS/SECURITY-ENERGY-COSTS|ACCIDENTS/SECURITY-FOSSIL-COSTS
99|ne|A serious reactor accident could cost as much as $ 600 billion , the balance of which would likely be paid by taxpayers .|A serious reactor accident could cost as much as $600 billion, the balance of which would likely be owed by oil oil.|49|ACCIDENTS/SECURITY-COSTS-----------|4|10|ne/framed_decoding0.2/exchange_random_labels_1_by_t5-small_TOP50|O-ACCIDENTS/SECURITY-ENERGY-COSTS|ACCIDENTS/SECURITY-FOSSIL-COSTS
11|ne|A serious reactor accident could cost as much as $ 600 billion , the balance of which would likely be paid by taxpayers .|A serious reactor accident could save up to as much as $600 billion, the balance of which would likely be paid by taxpayers.|47|ACCIDENTS/SECURITY-COSTS-----------|5|10|ne/exchange_random_labels_1_by_t5-small_TOP10|O-ACCIDENTS/SECURITY-ENERGY-COSTS|RELIABILITY-ENERGY-ACCIDENTS/SECURITY
31|ne|A serious reactor accident could cost as much as $ 600 billion , the balance of which would likely be paid by taxpayers .|A serious reactor accident could save up to as much as $600 billion, the balance of which would likely be paid by taxpayers.|57|ACCIDENTS/SECURITY-COSTS-----------|2|-1|ne/exchange_random_labels_1_by_t5-small_TOP10|O-ACCIDENTS/SECURITY-ENERGY-COSTS|RELIABILITY-ENERGY-ACCIDENTS/SECURITY
99|ne|A serious reactor accident could cost as much as $ 600 billion , the balance of which would likely be paid by taxpayers .|A serious reactor accident could save up to as much as $600 billion, the balance of which would likely be paid by taxpayers.|19|ACCIDENTS/SECURITY-COSTS-----------|5|10|ne/exchange_random_labels_1_by_t5-small_TOP10|O-ACCIDENTS/SECURITY-ENERGY-COSTS|RELIABILITY-ENERGY-ACCIDENTS/SECURITY
11|ne|A standard plant could cost as little as $ 2 billion , she said , a fraction of the cost of a uranium-based plant .|A standard plant could cost as little as $2 billion, she said, a fraction of the cost of a uranium-based plant.|48|-COSTS-----------|5|10|ne/exchange_random_labels_1_by_t5-small_TOP50//ne/exchange_random_labels_1_by_t5-small_TOP10//ne/framed_decoding0.1/exchange_random_labels_1_by_t5-large_TOP10|O-COSTS|RENEWABLES//RENEWABLES//RENEWABLES
31|ne|A standard plant could cost as little as $ 2 billion , she said , a fraction of the cost of a uranium-based plant .|A standard plant could cost as little as $2 billion, she said, a fraction of the cost of a uranium-based plant.|84|-COSTS-----------|2|-1|ne/exchange_random_labels_1_by_t5-small_TOP50//ne/exchange_random_labels_1_by_t5-small_TOP10//ne/framed_decoding0.1/exchange_random_labels_1_by_t5-large_TOP10|O-COSTS|RENEWABLES//RENEWABLES//RENEWABLES
99|ne|A standard plant could cost as little as $ 2 billion , she said , a fraction of the cost of a uranium-based plant .|A standard plant could cost as little as $2 billion, she said, a fraction of the cost of a uranium-based plant.|70|-COSTS-----------|5|1|ne/exchange_random_labels_1_by_t5-small_TOP50//ne/exchange_random_labels_1_by_t5-small_TOP10//ne/framed_decoding0.1/exchange_random_labels_1_by_t5-large_TOP10|O-COSTS|RENEWABLES//RENEWABLES//RENEWABLES
11|ne|A successful attack would release ' large quantities of radioactive materials to the environment . '|A GM would release' large quantities of nuclear energy.'|123|--ENERGY----------|5|10|ne/framed_decoding0.2/exchange_random_labels_2_by_t5-small_TOP10|ENVIRONMENTAL-O-ACCIDENTS/SECURITY|ENERGY-PUBLIC
31|ne|A successful attack would release ' large quantities of radioactive materials to the environment . '|A GM would release' large quantities of nuclear energy.'|86|ACCIDENTS/SECURITY------------|2|-1|ne/framed_decoding0.2/exchange_random_labels_2_by_t5-small_TOP10|ENVIRONMENTAL-O-ACCIDENTS/SECURITY|ENERGY-PUBLIC
99|ne|A successful attack would release ' large quantities of radioactive materials to the environment . '|A GM would release' large quantities of nuclear energy.'|504|------------|1|-1|ne/framed_decoding0.2/exchange_random_labels_2_by_t5-small_TOP10|ENVIRONMENTAL-O-ACCIDENTS/SECURITY|ENERGY-PUBLIC
11|ne|A successful attack would release ' large quantities of radioactive materials to the environment . '|A mosa said nuclear energy would release' large quantities of radioactive materials to the environment.'|62|---ENVIRONMENTAL--HEALTH-------|4|10|ne/remove_random_labels_1_by_t5-large_TOP10|ENVIRONMENTAL-O-ACCIDENTS/SECURITY|ENVIRONMENTAL
31|ne|A successful attack would release ' large quantities of radioactive materials to the environment . '|A mosa said nuclear energy would release' large quantities of radioactive materials to the environment.'|166|---ENVIRONMENTAL-------WASTE--|3|-1|ne/remove_random_labels_1_by_t5-large_TOP10|ENVIRONMENTAL-O-ACCIDENTS/SECURITY|ENVIRONMENTAL
99|ne|A successful attack would release ' large quantities of radioactive materials to the environment . '|A mosa said nuclear energy would release' large quantities of radioactive materials to the environment.'|270|------PUBLIC------|4|1|ne/remove_random_labels_1_by_t5-large_TOP10|ENVIRONMENTAL-O-ACCIDENTS/SECURITY|ENVIRONMENTAL
11|ne|A successful attack would release ' large quantities of radioactive materials to the environment . '|A rnie said A bomb would release' large quantities of energy. .'|55|ACCIDENTS/SECURITY---ENVIRONMENTAL--HEALTH------WEAPONS-|4|10|ne/framed_decoding0.2/exchange_random_labels_2_by_t5-large_TOP10|ENVIRONMENTAL-O-ACCIDENTS/SECURITY|RELIABILITY-COSTS
31|ne|A successful attack would release ' large quantities of radioactive materials to the environment . '|A rnie said A bomb would release' large quantities of energy. .'|44|-----------WEAPONS-|4|-1|ne/framed_decoding0.2/exchange_random_labels_2_by_t5-large_TOP10|ENVIRONMENTAL-O-ACCIDENTS/SECURITY|RELIABILITY-COSTS
99|ne|A successful attack would release ' large quantities of radioactive materials to the environment . '|A rnie said A bomb would release' large quantities of energy. .'|569|------PUBLIC------|3|1|ne/framed_decoding0.2/exchange_random_labels_2_by_t5-large_TOP10|ENVIRONMENTAL-O-ACCIDENTS/SECURITY|RELIABILITY-COSTS
11|ne|A successful attack would release ' large quantities of radioactive materials to the environment . '|A successful attack would release' large quantities of electricity.'|51|ACCIDENTS/SECURITY--ENERGY-ENVIRONMENTAL--HEALTH------WEAPONS-|5|10|ne/framed_decoding0.2/remove_random_labels_1_by_t5-small_TOP10|ENVIRONMENTAL-O-ACCIDENTS/SECURITY|ACCIDENTS/SECURITY
31|ne|A successful attack would release ' large quantities of radioactive materials to the environment . '|A successful attack would release' large quantities of electricity.'|21|-----------WEAPONS-|2|-1|ne/framed_decoding0.2/remove_random_labels_1_by_t5-small_TOP10|ENVIRONMENTAL-O-ACCIDENTS/SECURITY|ACCIDENTS/SECURITY
99|ne|A successful attack would release ' large quantities of radioactive materials to the environment . '|A successful attack would release' large quantities of electricity.'|1065|---ENVIRONMENTAL---------|5|0|ne/framed_decoding0.2/remove_random_labels_1_by_t5-small_TOP10|ENVIRONMENTAL-O-ACCIDENTS/SECURITY|ACCIDENTS/SECURITY
11|ne|A successful attack would release ' large quantities of radioactive materials to the environment . '|A successful attack would release' large quantities of energy from nuclear plants.'|78|ACCIDENTS/SECURITY--ENERGY-ENVIRONMENTAL--HEALTH-------|5|10|ne/remove_random_labels_1_by_t5-small_TOP10|ENVIRONMENTAL-O-ACCIDENTS/SECURITY|ACCIDENTS/SECURITY
31|ne|A successful attack would release ' large quantities of radioactive materials to the environment . '|A successful attack would release' large quantities of energy from nuclear plants.'|118|ACCIDENTS/SECURITY-----------WEAPONS-|2|-1|ne/remove_random_labels_1_by_t5-small_TOP10|ENVIRONMENTAL-O-ACCIDENTS/SECURITY|ACCIDENTS/SECURITY
99|ne|A successful attack would release ' large quantities of radioactive materials to the environment . '|A successful attack would release' large quantities of energy from nuclear plants.'|118|---ENVIRONMENTAL---------|5|0|ne/remove_random_labels_1_by_t5-small_TOP10|ENVIRONMENTAL-O-ACCIDENTS/SECURITY|ACCIDENTS/SECURITY
11|ne|A successful attack would release ' large quantities of radioactive materials to the environment . '|A successful attack would release' large quantities of radiation.'.'|59|ACCIDENTS/SECURITY---ENVIRONMENTAL--HEALTH-------|4|10|ne/framed_decoding0.2/remove_random_labels_1_by_t5-large_TOP10|ENVIRONMENTAL-O-ACCIDENTS/SECURITY|ACCIDENTS/SECURITY
31|ne|A successful attack would release ' large quantities of radioactive materials to the environment . '|A successful attack would release' large quantities of radiation.'.'|66|ACCIDENTS/SECURITY-----HEALTH------WEAPONS-|4|10|ne/framed_decoding0.2/remove_random_labels_1_by_t5-large_TOP10|ENVIRONMENTAL-O-ACCIDENTS/SECURITY|ACCIDENTS/SECURITY
99|ne|A successful attack would release ' large quantities of radioactive materials to the environment . '|A successful attack would release' large quantities of radiation.'.'|6676|---ENVIRONMENTAL---------|4|0|ne/framed_decoding0.2/remove_random_labels_1_by_t5-large_TOP10|ENVIRONMENTAL-O-ACCIDENTS/SECURITY|ACCIDENTS/SECURITY
11|ne|A typical nuclear power plant generates about 1,000 megawatts with capacity factors over 90 percent .|A typical nuclear power plant generates about 1,000 megawatts with capacity for a coal-fired reactor with oil flow capacity equal to or over 90 percent.|242|----FOSSIL---RELIABILITY-----|5|10|ne/framed_decoding0.2/exchange_random_labels_1_by_t5-large_TOP10|O-COSTS-RELIABILITY|RELIABILITY-FOSSIL
31|ne|A typical nuclear power plant generates about 1,000 megawatts with capacity factors over 90 percent .|A typical nuclear power plant generates about 1,000 megawatts with capacity for a coal-fired reactor with oil flow capacity equal to or over 90 percent.|220|-------RELIABILITY--TECHNOLOGICAL---|2|-1|ne/framed_decoding0.2/exchange_random_labels_1_by_t5-large_TOP10|O-COSTS-RELIABILITY|RELIABILITY-FOSSIL
99|ne|A typical nuclear power plant generates about 1,000 megawatts with capacity factors over 90 percent .|A typical nuclear power plant generates about 1,000 megawatts with capacity for a coal-fired reactor with oil flow capacity equal to or over 90 percent.|841|---ENVIRONMENTAL---------|5|0|ne/framed_decoding0.2/exchange_random_labels_1_by_t5-large_TOP10|O-COSTS-RELIABILITY|RELIABILITY-FOSSIL
11|ne|A typical nuclear power plant generates about 1,000 megawatts with capacity factors over 90 percent .|A typical nuclear power plant generates about 1,000 megawatts with energy efficiency factors over 90 percent.|107|--ENERGY-----RELIABILITY-----|5|10|ne/framed_decoding0.1/exchange_random_labels_1_by_t5-small_TOP10|O-COSTS-RELIABILITY|ENERGY-COSTS
31|ne|A typical nuclear power plant generates about 1,000 megawatts with capacity factors over 90 percent .|A typical nuclear power plant generates about 1,000 megawatts with energy efficiency factors over 90 percent.|126|-COSTS------RELIABILITY-----|4|10|ne/framed_decoding0.1/exchange_random_labels_1_by_t5-small_TOP10|O-COSTS-RELIABILITY|ENERGY-COSTS
99|ne|A typical nuclear power plant generates about 1,000 megawatts with capacity factors over 90 percent .|A typical nuclear power plant generates about 1,000 megawatts with energy efficiency factors over 90 percent.|37|---ENVIRONMENTAL---------|5|10|ne/framed_decoding0.1/exchange_random_labels_1_by_t5-small_TOP10|O-COSTS-RELIABILITY|ENERGY-COSTS
11|ne|Abandoned mines from the Cold War era continue to pose contamination problems in the Navajo Nation.Â ( Today , most of the uranium used in American reactors comes from Canada , Australia , and Russia . )|Abandoned mines from the Cold War era continue to pose a huge challenge for some in the Navajo Nation.Â (Today, most of the uranium used in American reactors comes from Canada, Australia, and Russia.)|168|--ENERGY-ENVIRONMENTAL--HEALTH-------|4|10|ne/exchange_random_labels_1_by_t5-small_TOP50|O-ENVIRONMENTAL|COSTS
31|ne|Abandoned mines from the Cold War era continue to pose contamination problems in the Navajo Nation.Â ( Today , most of the uranium used in American reactors comes from Canada , Australia , and Russia . )|Abandoned mines from the Cold War era continue to pose a huge challenge for some in the Navajo Nation.Â (Today, most of the uranium used in American reactors comes from Canada, Australia, and Russia.)|67|ACCIDENTS/SECURITY-----HEALTH-------|3|10|ne/exchange_random_labels_1_by_t5-small_TOP50|O-ENVIRONMENTAL|COSTS
99|ne|Abandoned mines from the Cold War era continue to pose contamination problems in the Navajo Nation.Â ( Today , most of the uranium used in American reactors comes from Canada , Australia , and Russia . )|Abandoned mines from the Cold War era continue to pose a huge challenge for some in the Navajo Nation.Â (Today, most of the uranium used in American reactors comes from Canada, Australia, and Russia.)|643|ACCIDENTS/SECURITY---ENVIRONMENTAL---------|5|0|ne/exchange_random_labels_1_by_t5-small_TOP50|O-ENVIRONMENTAL|COSTS
11|ne|Abandoned mines from the Cold War era continue to pose contamination problems in the Navajo Nation.Â ( Today , most of the uranium used in American reactors comes from Canada , Australia , and Russia . )|Abandoned mines from the Cold War era continue to pose a threat to uranium production in the Navajo Nation.Â (Today, most of the uranium used in American reactors comes from Canada, Australia, and Russia.)|190|ACCIDENTS/SECURITY--ENERGY-ENVIRONMENTAL--HEALTH-------|4|10|ne/framed_decoding0.1/exchange_random_labels_1_by_t5-large_TOP10|O-ENVIRONMENTAL|TECHNOLOGICAL
31|ne|Abandoned mines from the Cold War era continue to pose contamination problems in the Navajo Nation.Â ( Today , most of the uranium used in American reactors comes from Canada , Australia , and Russia . )|Abandoned mines from the Cold War era continue to pose a threat to uranium production in the Navajo Nation.Â (Today, most of the uranium used in American reactors comes from Canada, Australia, and Russia.)|66|ACCIDENTS/SECURITY----------WASTE--|2|0|ne/framed_decoding0.1/exchange_random_labels_1_by_t5-large_TOP10|O-ENVIRONMENTAL|TECHNOLOGICAL
99|ne|Abandoned mines from the Cold War era continue to pose contamination problems in the Navajo Nation.Â ( Today , most of the uranium used in American reactors comes from Canada , Australia , and Russia . )|Abandoned mines from the Cold War era continue to pose a threat to uranium production in the Navajo Nation.Â (Today, most of the uranium used in American reactors comes from Canada, Australia, and Russia.)|70|---ENVIRONMENTAL---------|5|0|ne/framed_decoding0.1/exchange_random_labels_1_by_t5-large_TOP10|O-ENVIRONMENTAL|TECHNOLOGICAL
11|ne|Abandoned mines from the Cold War era continue to pose contamination problems in the Navajo Nation.Â ( Today , most of the uranium used in American reactors comes from Canada , Australia , and Russia . )|Abandoned mines from the Cold War era continue to pose dangers in the Navajo Nation.Â (Today, most of the uranium used in American reactors comes from Canada, Australia, and Russia.)|121|ACCIDENTS/SECURITY---ENVIRONMENTAL--HEALTH-------|5|10|ne/exchange_random_labels_1_by_t5-large_TOP10|O-ENVIRONMENTAL|HEALTH
31|ne|Abandoned mines from the Cold War era continue to pose contamination problems in the Navajo Nation.Â ( Today , most of the uranium used in American reactors comes from Canada , Australia , and Russia . )|Abandoned mines from the Cold War era continue to pose dangers in the Navajo Nation.Â (Today, most of the uranium used in American reactors comes from Canada, Australia, and Russia.)|27|ACCIDENTS/SECURITY-----HEALTH-------|3|10|ne/exchange_random_labels_1_by_t5-large_TOP10|O-ENVIRONMENTAL|HEALTH
99|ne|Abandoned mines from the Cold War era continue to pose contamination problems in the Navajo Nation.Â ( Today , most of the uranium used in American reactors comes from Canada , Australia , and Russia . )|Abandoned mines from the Cold War era continue to pose dangers in the Navajo Nation.Â (Today, most of the uranium used in American reactors comes from Canada, Australia, and Russia.)|33|---ENVIRONMENTAL---------|5|0|ne/exchange_random_labels_1_by_t5-large_TOP10|O-ENVIRONMENTAL|HEALTH
11|ne|Abandoned mines from the Cold War era continue to pose contamination problems in the Navajo Nation.Â ( Today , most of the uranium used in American reactors comes from Canada , Australia , and Russia . )|Abandoned mines from the Cold War era continue to pose serious challenges in the Navajo Nation.Â (Today, most of the uranium used in American reactors comes from Canada, Australia, and Russia.)|25|ACCIDENTS/SECURITY---ENVIRONMENTAL--HEALTH-------|5|10|ne/exchange_random_labels_1_by_t5-small_TOP10|O-ENVIRONMENTAL|COSTS
31|ne|Abandoned mines from the Cold War era continue to pose contamination problems in the Navajo Nation.Â ( Today , most of the uranium used in American reactors comes from Canada , Australia , and Russia . )|Abandoned mines from the Cold War era continue to pose serious challenges in the Navajo Nation.Â (Today, most of the uranium used in American reactors comes from Canada, Australia, and Russia.)|41|ACCIDENTS/SECURITY-----HEALTH-------|3|10|ne/exchange_random_labels_1_by_t5-small_TOP10|O-ENVIRONMENTAL|COSTS
99|ne|Abandoned mines from the Cold War era continue to pose contamination problems in the Navajo Nation.Â ( Today , most of the uranium used in American reactors comes from Canada , Australia , and Russia . )|Abandoned mines from the Cold War era continue to pose serious challenges in the Navajo Nation.Â (Today, most of the uranium used in American reactors comes from Canada, Australia, and Russia.)|31|---ENVIRONMENTAL---------|5|0|ne/exchange_random_labels_1_by_t5-small_TOP10|O-ENVIRONMENTAL|COSTS
11|ne|According to a Stanford study , fast breeder reactors ( that convert Uranium into other nuclear fuels while generating energy ) have the potential to generate energy for billions of years , thus they make nuclear energy sustainable while lowering our dependency on oil , thus increasing our energy security .|According to a Stanford study, fast breeder reactors (that convert Uranium into other nuclear fuels while generating energy) have the potential to produce energy, thus they make nuclear energy sustainable while lowering our dependency on oil, thus increasing our oil dependency.|81|--ENERGY--FOSSIL---RELIABILITY--TECHNOLOGICAL---|5|10|ne/framed_decoding0.2/exchange_random_labels_1_by_t5-small_TOP50|O-FOSSIL-RELIABILITY-TECHNOLOGICAL|FOSSIL-TECHNOLOGICAL-PUBLIC
31|ne|According to a Stanford study , fast breeder reactors ( that convert Uranium into other nuclear fuels while generating energy ) have the potential to generate energy for billions of years , thus they make nuclear energy sustainable while lowering our dependency on oil , thus increasing our energy security .|According to a Stanford study, fast breeder reactors (that convert Uranium into other nuclear fuels while generating energy) have the potential to produce energy, thus they make nuclear energy sustainable while lowering our dependency on oil, thus increasing our oil dependency.|166|-COSTS-----PUBLIC----WASTE--|2|-1|ne/framed_decoding0.2/exchange_random_labels_1_by_t5-small_TOP50|O-FOSSIL-RELIABILITY-TECHNOLOGICAL|FOSSIL-TECHNOLOGICAL-PUBLIC
99|ne|According to a Stanford study , fast breeder reactors ( that convert Uranium into other nuclear fuels while generating energy ) have the potential to generate energy for billions of years , thus they make nuclear energy sustainable while lowering our dependency on oil , thus increasing our energy security .|According to a Stanford study, fast breeder reactors (that convert Uranium into other nuclear fuels while generating energy) have the potential to produce energy, thus they make nuclear energy sustainable while lowering our dependency on oil, thus increasing our oil dependency.|482|---ENVIRONMENTAL----RELIABILITY-----|1|0|ne/framed_decoding0.2/exchange_random_labels_1_by_t5-small_TOP50|O-FOSSIL-RELIABILITY-TECHNOLOGICAL|FOSSIL-TECHNOLOGICAL-PUBLIC
11|ne|According to a Stanford study , fast breeder reactors ( that convert Uranium into other nuclear fuels while generating energy ) have the potential to generate energy for billions of years , thus they make nuclear energy sustainable while lowering our dependency on oil , thus increasing our energy security .|According to a Stanford study, fast breeder reactors (that convert Uranium into other nuclear fuels while generating energy) have the potential to reduce nuclear dependency, thus they make nuclear energy sustainable while lowering our dependency on oil, thus increasing our oil dependency.|38|--ENERGY--FOSSIL---RELIABILITY--TECHNOLOGICAL---|5|10|ne/framed_decoding0.2/exchange_random_labels_1_by_t5-small_TOP10|O-FOSSIL-RELIABILITY-TECHNOLOGICAL|FOSSIL-TECHNOLOGICAL-PUBLIC
31|ne|According to a Stanford study , fast breeder reactors ( that convert Uranium into other nuclear fuels while generating energy ) have the potential to generate energy for billions of years , thus they make nuclear energy sustainable while lowering our dependency on oil , thus increasing our energy security .|According to a Stanford study, fast breeder reactors (that convert Uranium into other nuclear fuels while generating energy) have the potential to reduce nuclear dependency, thus they make nuclear energy sustainable while lowering our dependency on oil, thus increasing our oil dependency.|42|----FOSSIL--PUBLIC---TECHNOLOGICAL---|3|-1|ne/framed_decoding0.2/exchange_random_labels_1_by_t5-small_TOP10|O-FOSSIL-RELIABILITY-TECHNOLOGICAL|FOSSIL-TECHNOLOGICAL-PUBLIC
99|ne|According to a Stanford study , fast breeder reactors ( that convert Uranium into other nuclear fuels while generating energy ) have the potential to generate energy for billions of years , thus they make nuclear energy sustainable while lowering our dependency on oil , thus increasing our energy security .|According to a Stanford study, fast breeder reactors (that convert Uranium into other nuclear fuels while generating energy) have the potential to reduce nuclear dependency, thus they make nuclear energy sustainable while lowering our dependency on oil, thus increasing our oil dependency.|390|---ENVIRONMENTAL----RELIABILITY-----|1|0|ne/framed_decoding0.2/exchange_random_labels_1_by_t5-small_TOP10|O-FOSSIL-RELIABILITY-TECHNOLOGICAL|FOSSIL-TECHNOLOGICAL-PUBLIC
